business_id,average_daily_sales_dollar_volume,average_daily_sales_transactions,age_in_months,state,type,debt,credit_score,expense_to_income_ratio,offer_size,offer_fee
0,44.31,47,63.5,NV,childcare center,57957.98,526.0,0.6853816683880126,9134.0,449.0
1,10.17,79,36.6,NY,childcare center,318.08,709.0,0.6509747672561373,2257.0,143.0
2,1160.25,14,72.5,OH,restaurant,10852.93,633.0,1.05890925203424,277924.0,39118.0
3,296.08,65,83.0,IL,restaurant,79839.77,706.0,0.6429923606944912,73482.0,5024.0
4,238.99,72,57.7,AL,delivery,19008.28,608.0,1.0446511570333208,48931.0,4963.0
5,6.7,99,51.0,MT,auto repair,2717.8,580.0,0.8860292717193553,1223.0,83.0
6,505.97,34,103.3,OR,plumber,3763.32,561.0,0.701771054367432,118356.0,15305.0
7,1003.5,50,39.7,UT,electrician,1326.72,708.0,0.4281205164327525,263586.0,33174.0
8,61.3,27,62.0,HI,restaurant,10389.25,537.0,0.3072835446404931,14676.0,993.0
9,106.28,18,9.1,NV,auto repair,19449.15,567.0,0.6529288377288445,11529.0,800.0
10,11.42,23,79.0,LA,auto repair,17980.52,808.0,0.5721537151281166,2971.0,141.0
11,111.63,26,16.6,GA,restaurant,3800.3,608.0,0.6306550598861868,24399.0,1684.0
12,149.36,95,1.9,SC,restaurant,2818.54,634.0,0.9018756097873359,6840.0,620.0
13,96.19,96,88.2,LA,restaurant,14571.26,569.0,0.9424850711962802,22568.0,1417.0
14,228.82,45,29.0,VA,laundromat,232.42,683.0,0.9320455311296891,34012.0,3145.0
15,169.61,74,12.4,WV,restaurant,105853.7,647.0,0.541086152123774,26878.0,1349.0
16,29.9,8,15.0,ME,restaurant,273.47,648.0,1.0458457604585694,1378.0,67.0
17,22.18,47,30.9,TN,delivery,305.08,630.0,1.019691229084792,2215.0,144.0
18,962.07,95,16.1,VA,restaurant,709.82,573.0,0.7752379643278248,101991.0,13376.0
19,231.51,20,32.4,WA,movers,82173.83,763.0,1.0980783812149446,20865.0,1802.0
20,11.95,104,47.1,ME,childcare center,2015.41,674.0,0.540341093773877,2994.0,194.0
21,78.55,21,14.3,FL,childcare center,118.34,657.0,0.607495837822298,16638.0,1043.0
22,469.59,76,63.8,NE,restaurant,20487.45,673.0,0.9463078201113595,113979.0,12991.0
23,73.38,28,87.1,TN,restaurant,121451.64,830.0,0.42009043301820864,18747.0,1310.0
24,28.02,33,22.1,NJ,cleaner,15592.33,572.0,0.6132603762630797,3898.0,193.0
25,367.57,9,16.5,MS,restaurant,9324.82,654.0,0.7914585540541315,52304.0,6519.0
26,101.98,103,19.6,NM,restaurant,205.95,662.0,0.8878299526943775,11120.0,835.0
27,103.37,63,65.9,MA,delivery,31699.22,708.0,0.8321801979131874,21781.0,1520.0
28,22.78,17,38.3,LA,auto repair,916.68,645.0,0.5591865076695897,5338.0,235.0
29,100.56,77,14.9,MO,auto repair,246.89,755.0,1.1420779073885905,4662.0,252.0
30,146.67,70,31.3,WI,restaurant,5478.41,686.0,0.7670167362990249,32875.0,2186.0
31,54.66,63,103.9,NY,restaurant,3033.3,594.0,0.7668105610329196,12192.0,798.0
32,11.07,95,54.2,IN,auto repair,601.41,699.0,1.0091987315602742,2185.0,114.0
33,138.29,15,94.4,MD,electrician,46.57,650.0,0.9746275518169475,29006.0,954.0
34,0.92,49,83.4,SC,delivery,5413.81,592.0,0.6113950762968235,28.0,4.0
35,43.34,78,9.7,AK,restaurant,7124.12,655.0,0.6322581443456332,7111.0,500.0
36,15.56,44,74.8,TN,cleaner,3168.24,644.0,1.1017196274984995,3414.0,200.0
